FSSLTDE2,FSGRINC,FSASSET,FSNETINC,FSTOTDED,REALPROP,RAWERND,FSTOTDE2,CERTHHSZ,FSWAGES,TANF_IND,FSERNDED,TPOV,FSEARN,RAWNET,FSDIS,FSUSIZE,FYWGT,FSNELDER,FSSSI,FSTANF,FSNONCIT,LIQRESOR,FSUNEARN,WRK_POOR,FSSTDDE2,SHELDED,FSSLTDED,FSGA,FSERNDE2,CAT_ELIG,VEHICLEA,FSVEHAST
268.0,402.0,419.0,0.0,477.0,0.0,0.0,402.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,1.0,59.30464124673775,1.0,176.0,0.0,0.0,419.0,402.0,0.0,126.0,343.0,343.0,0.0,0.0,1.0,1.0,0.0
175.0,626.0,194.0,187.0,439.0,0.0,125.0,439.0,4.0,626.0,0.0,125.0,38.0,626.0,187.0,0.0,4.0,64.98590330331506,0.0,0.0,0.0,0.0,194.0,0.0,1.0,209.0,175.0,175.0,0.0,188.0,0.0,1.0,0.0
61.0,1243.0,0.0,781.0,462.0,0.0,215.0,462.0,4.0,1075.0,0.0,215.0,75.0,1075.0,781.0,0.0,4.0,81.10572065004062,0.0,0.0,0.0,0.0,0.0,168.0,1.0,200.0,61.0,61.0,0.0,276.0,0.0,1.0,0.0
0.0,1546.0,0.0,1242.0,304.0,0.0,171.0,304.0,3.0,854.0,0.0,170.0,112.0,854.0,1241.0,1.0,3.0,92.4942131340998,0.0,0.0,0.0,0.0,0.0,692.0,1.0,134.0,0.0,0.0,0.0,170.0,0.0,1.0,0.0
130.0,657.0,0.0,393.0,264.0,0.0,0.0,264.0,1.0,0.0,0.0,0.0,80.0,0.0,393.0,0.0,1.0,69.99081229660885,1.0,0.0,0.0,0.0,0.0,657.0,0.0,201.0,130.0,130.0,0.0,0.0,0.0,1.0,0.0
261.0,602.0,0.0,0.0,758.0,0.0,120.0,602.0,6.0,602.0,0.0,120.0,27.0,602.0,0.0,0.0,6.0,62.31340963163176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
13.0,147.0,0.0,0.0,551.0,0.0,0.0,147.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,58.78344135535034,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,417.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,924.0,0.0,790.0,134.0,0.0,0.0,134.0,2.0,0.0,0.0,0.0,84.0,0.0,790.0,0.0,2.0,80.24634422795674,2.0,18.0,0.0,0.0,0.0,924.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
92.0,414.0,267.0,188.0,226.0,0.0,0.0,226.0,3.0,0.0,0.0,0.0,30.0,0.0,188.0,0.0,3.0,63.78644853349354,0.0,0.0,0.0,0.0,267.0,414.0,0.0,201.0,92.0,92.0,0.0,0.0,0.0,1.0,0.0
0.0,389.0,0.0,255.0,134.0,0.0,0.0,134.0,3.0,0.0,1.0,0.0,28.0,0.0,255.0,0.0,3.0,65.68822473667801,0.0,0.0,389.0,0.0,0.0,389.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,40.0,0.0,0.0,134.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,59.30464124673775,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
173.0,1244.0,0.0,735.0,509.0,0.0,203.0,509.0,2.0,1013.0,0.0,202.0,113.0,1013.0,734.0,0.0,2.0,78.79737188130106,1.0,0.0,0.0,0.0,0.0,231.0,1.0,201.0,173.0,173.0,231.0,303.0,0.0,1.0,0.0
413.0,603.0,0.0,56.0,547.0,0.0,0.0,547.0,1.0,0.0,0.0,0.0,74.0,0.0,5.0,1.0,1.0,60.84417436335719,0.0,603.0,0.0,0.0,0.0,603.0,0.0,201.0,463.0,413.0,0.0,0.0,1.0,1.0,0.0
0.0,881.0,0.0,747.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,108.0,0.0,747.0,1.0,1.0,72.43595313013405,0.0,0.0,0.0,0.0,0.0,881.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198.0,923.0,0.0,537.0,386.0,0.0,0.0,386.0,1.0,0.0,0.0,0.0,113.0,0.0,536.0,0.0,1.0,72.43595313013408,1.0,0.0,0.0,0.0,0.0,923.0,0.0,201.0,198.0,198.0,0.0,0.0,0.0,1.0,0.0
129.0,940.0,0.0,677.0,263.0,0.0,0.0,263.0,2.0,0.0,1.0,0.0,85.0,0.0,677.0,1.0,2.0,77.16727799280893,0.0,156.0,231.0,0.0,0.0,940.0,0.0,201.0,129.0,129.0,0.0,0.0,1.0,1.0,0.0
119.0,623.0,0.0,370.0,253.0,0.0,0.0,253.0,2.0,0.0,0.0,0.0,57.0,0.0,370.0,0.0,2.0,68.83568700446186,1.0,247.0,0.0,0.0,0.0,623.0,0.0,201.0,119.0,119.0,0.0,0.0,0.0,1.0,0.0
0.0,231.0,0.0,97.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,28.0,0.0,97.0,0.0,1.0,61.93090362247162,0.0,0.0,0.0,0.0,0.0,231.0,0.0,134.0,0.0,0.0,231.0,0.0,1.0,1.0,0.0
0.0,1625.0,210.0,1166.0,459.0,0.0,325.0,459.0,3.0,1625.0,0.0,325.0,117.0,1625.0,1166.0,0.0,3.0,90.41131538708694,0.0,0.0,0.0,0.0,210.0,0.0,1.0,134.0,0.0,0.0,0.0,325.0,0.0,1.0,0.0
0.0,231.0,0.0,97.0,134.0,0.0,0.0,134.0,1.0,0.0,0.0,0.0,28.0,0.0,97.0,0.0,1.0,61.93090362247162,0.0,0.0,0.0,0.0,0.0,231.0,0.0,134.0,0.0,0.0,231.0,0.0,1.0,1.0,0.0
